Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",C_Radial_D5.0mm_H5.0mm_P2.00mm,2,100uF,
"C15, C17, C25, C26, C27, C5, C6",0603,7,0.1uF,
"C16, C18, C28, C29, C3, C30, C4",0805,7,10uF,
"C7, C8",0603,2,10nF,
HS1,TestPoint_Pad_4.0x4.0mm,1,Heatsink_Pad,
J1,FPC_1x30_P0.5mm_Horizontal_DualContact,1,SIGNAL,
J2,Molex_DuraClik_502352-0600_1x06-1MP_P2.00mm_Horizontal,1,POWER,
LD1,Molex_DuraClik_502352-0200_1x02-1MP_P2.00mm_Horizontal,1,GREEN,
LD2,Molex_DuraClik_502352-0200_1x02-1MP_P2.00mm_Horizontal,1,BLUE,
LD3,Molex_DuraClik_502352-0200_1x02-1MP_P2.00mm_Horizontal,1,RED,
"R1, R2, R3",2512,3,0.1,
"R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R8, R9",0603,12,1k,
"R20, R21, R22",0603,3,100k,
"R4, R5",0603,2,1,
"R6, R7",0603,2,10K,
"U1, U2",QFN-28-1EP_5x5mm_P0.5mm_EP2.7x2.7mm_ThermalVias,2,~,
"U3, U4, U5",MSOP-10_3x3mm_P0.5mm,3,MCP4728,
